kind,.pred_AI,.pred_class,detector,native,name,model,document_id,prompt
Human,1.47e-5,Human,GPTZero,Yes,US 8th grade essay,Human,194,NA
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,211,Plain
AI,1.70588e-4,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,357,Enhance like native
AI,0.18669045,Human,Quil,NA,US 8th grade essay - GPT simplify,GPT4,129,Simplify like non-native
AI,0.800959349,AI,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,223,Plain
Human,0.981691182,AI,OriginalityAI,No,Real TOEFL,Human,371,NA
AI,0.625,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,640,Plain
AI,2.12e-6,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,261,Enhance like native
AI,1.08e-6,Human,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,383,Elevate using literary
Human,1.00059e-4,Human,GPTZero,Yes,Real CS224N,Human,762,NA
Human,1.7562e-4,Human,Crossplag,Yes,Real College Essays,Human,395,NA
AI,0.008199394,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,710,Elevate using technical
AI,0.653521362,AI,GPTZero,NA,Fake CS224N - GPT3,GPT3,435,Plain
Human,3.51363e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,127,NA
AI,2.41339e-4,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,268,Enhance like native
Human,2.19335e-4,Human,OriginalityAI,Yes,Real College Essays,Human,388,NA
AI,0.930023909,AI,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,592,Elevate using technical
Human,3e-4,Human,OriginalityAI,Yes,US 8th grade essay,Human,135,NA
AI,0.913528323,AI,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,712,Elevate using technical
Human,1.511e-4,Human,OriginalityAI,Yes,Real CS224N,Human,800,NA
AI,0.003550606,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,258,Enhance like native
AI,0.507996798,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,91,Simplify like non-native
Human,3.24948e-4,Human,Crossplag,Yes,US 8th grade essay,Human,127,NA
Human,3e-7,Human,GPTZero,No,Real TOEFL,Human,302,NA
Human,7.55e-7,Human,Sapling,Yes,US 8th grade essay,Human,94,NA
Human,0.999513497,AI,Sapling,No,Real TOEFL,Human,430,NA
Human,7.48e-7,Human,Sapling,Yes,Real College Essays,Human,902,NA
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,73,NA
Human,2.15709e-4,Human,Quil,Yes,US 8th grade essay,Human,150,NA
Human,6.14e-7,Human,Sapling,Yes,US 8th grade essay,Human,193,NA
AI,0.001320035,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,550,Elevate using technical
AI,0.008225501,Human,Quil,NA,Fake CS224N - GPT3,GPT3,686,Plain
AI,1.9944e-4,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,24,Plain
Human,0.014506432,Human,Sapling,Yes,US 8th grade essay,Human,127,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,780,NA
AI,3.21507e-4,Human,Quil,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,74,Elevate using literary
AI,1.87514e-4,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,706,Plain
Human,1.70024e-4,Human,Crossplag,Yes,Real CS224N,Human,785,NA
Human,1.96094e-4,Human,Crossplag,Yes,Real College Essays,Human,426,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,845,NA
Human,1.69107e-4,Human,HFOpenAI,Yes,Real College Essays,Human,314,NA
Human,0.006840349,Human,Crossplag,Yes,US 8th grade essay,Human,116,NA
Human,1.00059e-4,Human,GPTZero,No,Real TOEFL,Human,335,NA
AI,0.9994,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,187,Simplify like non-native
AI,2.45035e-4,Human,Quil,NA,Fake CS224N - GPT3,GPT3,692,Plain
AI,1.26823e-4,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,283,Enhance like native
AI,0.605100989,AI,Quil,NA,Fake CS224N - GPT3,GPT3,612,Plain
Human,1.99738e-4,Human,HFOpenAI,Yes,Real CS224N,Human,790,NA
Human,0.745136976,AI,Quil,No,Real TOEFL,Human,277,NA
AI,6.56477e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,602,Elevate using technical
Human,1.76483e-4,Human,Crossplag,Yes,Real CS224N,Human,740,NA
Human,6.37829e-4,Human,Quil,Yes,US 8th grade essay,Human,225,NA
AI,0.997760534,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,624,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,553,Elevate using technical
Human,5.18973e-4,Human,OriginalityAI,Yes,Real College Essays,Human,417,NA
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,608,Elevate using technical
AI,0.375,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,571,Plain
AI,2.239e-4,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,706,Plain
AI,2.92015e-4,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,368,Elevate using literary
AI,0.999999225,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,636,Plain
Human,0.77655077,AI,HFOpenAI,No,Real TOEFL,Human,900,NA
AI,0.020740019,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
AI,1.70532e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,594,Elevate using technical
Human,5.1399999999999997e-23,Human,GPTZero,Yes,US 8th grade essay,Human,328,NA
Human,1.69891e-4,Human,Crossplag,Yes,Real CS224N,Human,738,NA
AI,0.999543836,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,606,Elevate using technical
Human,0.900609195,AI,OriginalityAI,Yes,Real CS224N,Human,859,NA
AI,0.999999035,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,907,Plain
AI,2.41922e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,652,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,599,Elevate using technical
Human,0.001620963,Human,Crossplag,Yes,Real College Essays,Human,49,NA
Human,0.98628217,AI,OriginalityAI,No,Real TOEFL,Human,217,NA
Human,0.716511071,AI,Crossplag,No,Real TOEFL,Human,246,NA
AI,4.37385e-4,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,619,Plain
AI,0.875,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,16,Plain
Human,0.870862748,AI,GPTZero,No,Real TOEFL,Human,430,NA
AI,0.999558747,AI,Quil,NA,Fake CS224N - GPT3,GPT3,596,Plain
Human,0.011181846,Human,Sapling,Yes,US 8th grade essay,Human,916,NA
AI,0.003309322,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,379,Enhance like native
Human,5.5e-4,Human,OriginalityAI,Yes,US 8th grade essay,Human,111,NA
AI,0.001198053,Human,Quil,NA,Fake CS224N - GPT3,GPT3,21,Plain
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,45,NA
AI,9.03115e-4,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,621,Elevate using technical
AI,1.47e-5,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,633,Plain
AI,0.995412171,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,515,Plain
AI,0.014614365,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,440,Enhance like native
AI,0.999819934,AI,Quil,NA,Fake CS224N - GPT3,GPT3,629,Plain
AI,2.69731e-4,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,547,Enhance like native
AI,2.72237e-4,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,268,Enhance like native
AI,4.2333e-4,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
Human,3.99e-30,Human,GPTZero,Yes,US 8th grade essay,Human,436,NA
AI,0.00196961,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,118,Simplify like non-native
Human,0.002217783,Human,OriginalityAI,Yes,Real CS224N,Human,797,NA
AI,0.9979,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,80,Simplify like non-native
AI,0.999759138,AI,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,679,Elevate using technical
AI,5.40701e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,710,Elevate using technical
Human,0.763712823,AI,Crossplag,No,Real TOEFL,Human,302,NA
Human,0.125,Human,ZeroGPT,Yes,Real College Essays,Human,909,NA
Human,0.999999236,AI,Sapling,No,Real TOEFL,Human,325,NA
Human,0.500840451,AI,OriginalityAI,Yes,Real College Essays,Human,405,NA
AI,1.07e-10,Human,GPTZero,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,69,Elevate using literary
AI,0.002516726,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,468,Plain
AI,0.024187744,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,518,Elevate using technical
Human,0.019423705,Human,OriginalityAI,Yes,Real College Essays,Human,926,NA
AI,5.41048e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,653,Elevate using technical
AI,3.56772e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,592,Elevate using technical
AI,0.999999606,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,10,Plain
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,611,Elevate using technical
AI,6.9e-7,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,78,Enhance like native
AI,0.978298664,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,668,Elevate using technical
Human,2.46598e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,147,NA
Human,0.0012,Human,OriginalityAI,Yes,US 8th grade essay,Human,149,NA
AI,3.60256e-4,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,897,Elevate using literary
AI,0.714545228,AI,GPTZero,NA,Fake CS224N - GPT3,GPT3,701,Plain
Human,0.625,AI,ZeroGPT,No,Real TOEFL,Human,403,NA
AI,5e-7,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,443,Elevate using technical
AI,0.999509573,AI,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,341,Enhance like native
Human,0.25,Human,ZeroGPT,No,Real TOEFL,Human,371,NA
AI,0.617056906,AI,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,326,Enhance like native
Human,0.001471281,Human,Quil,Yes,Real College Essays,Human,540,NA
AI,0.999999533,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,633,Plain
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,594,Elevate using technical
AI,0.039061017,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,2e-4,Human,OriginalityAI,Yes,US 8th grade essay,Human,151,NA
Human,0.887165174,AI,GPTZero,No,Real TOEFL,Human,325,NA
Human,6.01e-14,Human,GPTZero,Yes,Real College Essays,Human,898,NA
AI,0.010293416,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,693,Elevate using technical
Human,4.56e-27,Human,GPTZero,Yes,Real College Essays,Human,407,NA
AI,0.999815762,AI,Quil,NA,Fake CS224N - GPT3,GPT3,572,Plain
AI,2.54871e-4,Human,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,5,Elevate using literary
Human,0.013032199,Human,OriginalityAI,Yes,Real CS224N,Human,767,NA
AI,0.001275077,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,444,Plain
AI,0.989840031,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,668,Elevate using technical
Human,0.25,Human,ZeroGPT,Yes,Real CS224N,Human,801,NA
AI,0.005748362,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,355,Enhance like native
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,800,NA
Human,0.151445547,Human,GPTZero,No,Real TOEFL,Human,259,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,738,NA
AI,0.706701696,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,684,Plain
AI,0.5,Human,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,360,Simplify like non-native
AI,0.026009386,Human,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,220,Plain
AI,2.12e-6,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,671,Plain
AI,0.010487923,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,675,Elevate using technical
AI,0.005825063,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,92,Simplify like non-native
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,603,Enhance like native
Human,9e-4,Human,OriginalityAI,Yes,US 8th grade essay,Human,115,NA
AI,2.12e-6,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,57,Elevate using technical
AI,0.990192533,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,25,Plain
Human,0.03195668,Human,Crossplag,Yes,Real CS224N,Human,782,NA
Human,2.12e-6,Human,GPTZero,Yes,Real CS224N,Human,853,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,175,NA
AI,1.00059e-4,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,678,Plain
AI,0.840543568,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,129,Simplify like non-native
AI,0.99981457,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,439,Plain
AI,0.995600224,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,478,Plain
Human,0.976853132,AI,OriginalityAI,No,Real TOEFL,Human,373,NA
AI,4.43497e-4,Human,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,68,Elevate using literary
AI,2.2503e-4,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,245,Enhance like native
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,569,Plain
Human,6.79e-5,Human,OriginalityAI,Yes,Real College Essays,Human,49,NA
AI,4.84e-7,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,536,Elevate using technical
AI,0.999827206,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,670,Plain
Human,1.47e-5,Human,GPTZero,Yes,Real CS224N,Human,741,NA
Human,0.787395895,AI,HFOpenAI,Yes,US 8th grade essay,Human,190,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,185,NA
Human,1.70279e-4,Human,Crossplag,Yes,Real College Essays,Human,281,NA
AI,8.73892e-4,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.99470892,AI,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,186,Simplify like non-native
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,870,NA
AI,0.25,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,547,Enhance like native
Human,1.64e-16,Human,GPTZero,Yes,US 8th grade essay,Human,888,NA
AI,0.999997906,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,204,Plain
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,348,NA
AI,4.87148e-4,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,703,Plain
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,767,NA
AI,4.58629e-4,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,387,Plain
Human,2.46876e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,886,NA
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,728,Elevate using technical
AI,0.94823331,AI,GPTZero,NA,Fake College Essays - GPT3,GPT3,422,Plain
AI,0.999039352,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,712,Elevate using technical
AI,4.36723e-4,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,622,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,93,NA
Human,9e-4,Human,OriginalityAI,Yes,US 8th grade essay,Human,82,NA
AI,2.28668e-4,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,382,Elevate using literary
AI,0.998009503,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,236,Simplify like non-native
AI,0.184981391,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,615,Plain
AI,4.81e-7,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,695,Elevate using technical
AI,0.999579251,AI,Quil,NA,Fake CS224N - GPT3,GPT3,26,Plain
Human,4.62108e-4,Human,Sapling,No,Real TOEFL,Human,908,NA
Human,0.023188406,Human,GPTZero,Yes,Real CS224N,Human,876,NA
Human,1.00059e-4,Human,GPTZero,Yes,Real CS224N,Human,850,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,786,NA
AI,0.153888226,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,691,Plain
Human,1.68726e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,920,NA
AI,1.47e-5,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,285,Enhance like native
AI,0.001983016,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,600,Elevate using technical
AI,3.56772e-4,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,357,Enhance like native
AI,0.999819338,AI,Quil,NA,Fake CS224N - GPT3,GPT3,636,Plain
AI,1.76132e-4,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,496,Elevate using technical
Human,0.001270544,Human,Crossplag,Yes,Real College Essays,Human,919,NA
AI,7.34e-6,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,363,Enhance like native
Human,0.989972591,AI,OriginalityAI,No,Real TOEFL,Human,460,NA
AI,0.999561903,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,524,Plain
Human,0.011590428,Human,HFOpenAI,Yes,Real CS224N,Human,737,NA
Human,1.79532e-4,Human,HFOpenAI,Yes,Real CS224N,Human,869,NA
Human,2.19732e-4,Human,Crossplag,Yes,Real CS224N,Human,778,NA
Human,4.56883e-4,Human,Crossplag,Yes,Real CS224N,Human,878,NA
AI,0.25,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,297,Enhance like native
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,149,NA
Human,7.2e-7,Human,Sapling,Yes,Real College Essays,Human,417,NA
AI,1.72256e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,502,Elevate using technical
AI,0.001569397,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,597,Elevate using technical
Human,1.95801e-4,Human,Quil,Yes,US 8th grade essay,Human,916,NA
Human,3.32299e-4,Human,OriginalityAI,Yes,Real CS224N,Human,740,NA
AI,0.191216752,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,308,Enhance like native
AI,0.027665699,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,92,Simplify like non-native
AI,7.08e-5,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,202,Elevate using literary
AI,6.56477e-4,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,257,Enhance like native
AI,2.59e-13,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,207,Enhance like native
AI,4.50527e-4,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,600,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,470,NA
Human,0.125,Human,ZeroGPT,Yes,Real CS224N,Human,785,NA
AI,0.9813,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,160,Simplify like non-native
Human,1.80906e-4,Human,Crossplag,Yes,Real College Essays,Human,273,NA
AI,3.19035e-4,Human,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,66,Elevate using literary
AI,0.004087193,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,582,Elevate using technical
Human,2.59e-13,Human,GPTZero,Yes,Real CS224N,Human,880,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,157,NA
AI,0.805804312,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,517,Elevate using technical
Human,0.625,AI,ZeroGPT,Yes,Real College Essays,Human,273,NA
Human,1.68349e-4,Human,Crossplag,Yes,Real CS224N,Human,767,NA
AI,2.04533e-4,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,121,Simplify like non-native
Human,0.008748993,Human,Crossplag,No,Real TOEFL,Human,293,NA
Human,0.900023467,AI,GPTZero,No,Real TOEFL,Human,543,NA
AI,0.999687076,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,25,Plain
AI,0.9997,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,166,Simplify like non-native
AI,1.68367e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,465,Elevate using technical
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,339,Enhance like native
AI,0.032747805,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,256,Enhance like native
AI,0.875,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,34,Plain
AI,1.87457e-4,Human,Quil,NA,Fake CS224N - GPT3,GPT3,706,Plain
AI,1.77223e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,719,Elevate using technical
AI,0.005743397,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,589,Plain
AI,3.75965e-4,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,706,Plain
Human,0.999989031,AI,Sapling,No,Real TOEFL,Human,280,NA
Human,0.966256261,AI,Quil,Yes,US 8th grade essay,Human,142,NA
AI,1.88868e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,57,Elevate using technical
AI,1,AI,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,670,Plain
AI,0.003404277,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,708,Plain
AI,0.925782271,AI,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,233,Simplify like non-native
AI,0.692841113,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,15,Plain
Human,0.786747456,AI,HFOpenAI,No,Real TOEFL,Human,371,NA
AI,0.9956,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,447,Simplify like non-native
Human,0.016285593,Human,Crossplag,Yes,Real CS224N,Human,828,NA
AI,0.00908317,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,1.04e-12,Human,GPTZero,Yes,Real CS224N,Human,798,NA
AI,1.97525e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,621,Elevate using technical
AI,0.991457045,AI,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,0.999190629,AI,Quil,No,Real TOEFL,Human,296,NA
AI,0.99981457,AI,Quil,NA,Fake College Essays - GPT3,GPT3,439,Plain
Human,1.69872e-4,Human,Crossplag,Yes,Real CS224N,Human,772,NA
AI,0.032543067,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,155,Simplify like non-native
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,683,Plain
AI,0.997001708,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,634,Plain
AI,6.78725e-4,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,363,Enhance like native
AI,0.008811826,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,471,Enhance like native
AI,0.887165174,AI,GPTZero,NA,Fake CS224N - GPT3,GPT3,30,Plain
AI,0.033965637,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,578,Elevate using technical
AI,0.870862748,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,245,Enhance like native
AI,1,AI,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,458,Enhance like native
AI,0.010734144,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,208,Enhance like native
AI,0.980225623,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,134,Simplify like non-native
AI,0.97925204,AI,Quil,NA,Fake CS224N - GPT3,GPT3,38,Plain
Human,3e-4,Human,OriginalityAI,Yes,US 8th grade essay,Human,143,NA
Human,2.08676e-4,Human,Quil,Yes,US 8th grade essay,Human,98,NA
AI,0.313908398,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,620,Plain
AI,1.74256e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,443,Elevate using technical
AI,1.98662e-4,Human,Quil,NA,US 8th grade essay - GPT simplify,GPT4,123,Simplify like non-native
Human,0.125,Human,ZeroGPT,Yes,Real College Essays,Human,919,NA
Human,0.435538935,Human,GPTZero,No,Real TOEFL,Human,329,NA
Human,0.999999545,AI,Sapling,No,Real TOEFL,Human,345,NA
Human,1.85508e-4,Human,HFOpenAI,Yes,Real College Essays,Human,348,NA
AI,0.008727491,Human,Quil,NA,Fake CS224N - GPT3,GPT3,700,Plain
AI,0.927474678,AI,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0.999999501,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,699,Elevate using technical
Human,6.61e-9,Human,GPTZero,Yes,Real College Essays,Human,909,NA
Human,0.5,Human,ZeroGPT,No,Real TOEFL,Human,301,NA
AI,2.5e-6,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.021056494,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,560,Elevate using technical
AI,0.34983936,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,664,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,645,Elevate using technical
AI,0.002292534,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,118,Simplify like non-native
AI,3.06936e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,648,Elevate using technical
AI,3.56772e-4,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,9,Plain
AI,0.999781549,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,487,Plain
AI,2.12e-6,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,527,Elevate using technical
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,719,Elevate using technical
AI,0.066969268,Human,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,893,Plain
AI,1.71944e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,714,Elevate using technical
AI,0.760402243,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,52,Enhance like native
Human,1.47e-5,Human,GPTZero,Yes,Real CS224N,Human,771,NA
